Jname	Jarticles	nWave_ap	MedianWave_ap	Q25Wave_ap	Q75Wave_ap	nWave_ra	MedianWave_ra	Q25Wave_ra	Q75Wave_ra	nWave_rp	MedianWave_rp	Q25Wave_rp	Q75Wave_rp
Adv Urol	39	39				39	62	45	90.5	39			
Adv Virol	15	15				15	65	55.5	121	15			
Adv Wound Care (New Rochelle)	44	44				44				44	222	147.5	302
Adv. Drug Deliv. Rev.	139	139	131	82	238.5	139	126	67	160.5	139	289	186	388.5
Adv. Mater. Weinheim	846	846				846				846	163	141	189
Adv. Synth. Catal.	4	4				4				4			
Aerobiologia (Bologna)	4	4				4				4			
Aesthetic Plast Surg	200	200	105	84	138	200	146	101.5	201	200	255	210.5	330.5
Afr J Psychiatry (Johannesbg)	26	26	340.5	280	395	26	160.5	89	241	26	473	394	640
Age (Dordr)	121	121	337	242	446	121	142	97	193	121	510	416	560
Ageing Res. Rev.	95	95	126	71.5	248.5	95	95	64	126.5	95	211	152	293.5
Aggress Behav	52	52		196.5		52	231	171	315	52		549	
Aggress Violent Behav	2	2				2				2			
Aging Clin Exp Res	123	123	160	100	200	123	97	48.5	141	123	267	129.5	368
Aging Dis	43	43	111	77.5	202	43	38	22	45.5	43	155	114.5	243.5
AIDS Res Ther	18	18				18	111	68	205	18		67	
AIDS Res Treat	48	48				48	96	70.5	138	48		106.5	
AIP Adv	2	2				2				2			
Air Med. J.	42	42				42	85.5	13	197	42			
Air Qual Atmos Health	3	3				3				3			
AJP Rep	27	27	222	198	240	27	43	18	112	27	277	244	294
Alcohol	52	52	101	78	120	52	145	89	200	52	234.5	189.5	302
Alcohol. Clin. Exp. Res.	281	281	221	210	233	281	126	88	185	281	351	318	410
Algorithms Mol Biol	24	24				24	191	48	201.5	24			
Aliment. Pharmacol. Ther.	293	293	61	54	71	293	59	28	111	293	122	88	173
Allergol Immunopathol (Madr)	74	74				74	61.5	44	84	74			
Allergol Int	42	42	175	149	205	42	103	55	168	42	257	215	288
Allergy	2	2				2				2			
Allergy Asthma Clin Immunol	32	32				32	89.5	54.5	114.5	32			
Allergy Asthma Immunol Res	98	98	248	208	273	98	77.5	40	111	98	334	277	366
Altern Ther Health Med	1	1				1				1			
ALTEX	4	4				4				4			
Alzheimers Dement	88	88	367	303.5	408.5	88	143.5	98	195	88	503	402	619.5
Alzheimers Res Ther	24	24				24	102.5	69	135	24		150	
Am J Addict	125	125				125	141	82	203	125			
Am J Blood Res	31	31				31	53	28	60.5	31			
Am J Cancer Res	51	51				51	27	19	37.5	51			
Am J Cardiovasc Dis	36	36				36	35	15	52	36			
Am J Case Rep	189	189				189	46	29	68	189			
Am J Clin Exp Immunol	26	26				26	24	12	36	26			
Am J Clin Exp Urol	10	10				10	18.5	9	33	10			
Am J Emerg Med	549	549	118	95	139	549	22	4	55	549	147	126	192
Am J Geriatr Psychiatry	230	230	499.5	333	568	230	210	129	281	230	696.5	548	804
Am J Infect Control	284	284	268	209	319.5	284	66.5	49	90	284	333	289	393
Am J Neurodegener Dis	35	35				35	29	23	41.5	35			
Am J Nucl Med Mol Imaging	72	72				72	26.5	20.5	54.5	72			
Am J Orthod Dentofacial Orthop	137	137	152	149	213	137	92	60	153	137	274	241	424
Am J Otolaryngol	194	194				194	25	10	60	194			
Am J Pharm Educ	76	76	161.5	150	174	76	65	53	80.5	76	227.5	204	248.5
Am J Prev Med	173	173	115	103	128	173	123	109	148	173	239	214	271
Am J Stem Cells	16	16				16	48	42	54.5	16			
Am J Transl Res	90	90				90	26	16	41	90			
Am. Heart J.	318	318	92	81	104	318	113	75	154	318	207	171	245
Am. J. Cardiol.	708	708	126	118	132	708	59	40	82.5	708	185.5	163	207
Am. J. Gastroenterol.	113	113	109	93	134	113	133	99	181	113	258	224	286
Am. J. Hematol.	232	232	95	83	115	232	44	11	79.5	232	148	114.5	181
Am. J. Hum. Biol.	154	154				154	118	75	152	154			
Am. J. Hum. Genet.	206	206	49	38	62	206	82	60	121	206	140	108	168
Am. J. Kidney Dis.	218	218	174.5	154	202	218	130	100	177	218	321	272	369
Am. J. Med.	222	222	168	118	202	222	52.5	14	117	222	231	192	285
Am. J. Med. Genet. A	512	512	126	113	144.5	512	130	79.5	210	512	264	206.5	356
Am. J. Med. Genet. B Neuropsychiatr. Genet.	89	89	87	69	144	89	122	68	191	89	253	198	306
Am. J. Nephrol.	188	188				188	60	40	95	188		62	
Am. J. Obstet. Gynecol.	402	402	104	86	127	402	102	76	133	402	212.5	173	256
Am. J. Ophthalmol.	279	279	138	128	149	279	112	77.5	145	279	249	214	293
Am. J. Pathol.	406	406	103	94	110	406	121	84	175	406	230	191	276
Am. J. Phys. Anthropol.	205	205	89	81	99	205	163	111	219	205	253	200	325
Am. J. Primatol.	109	109	154	140	171	109	109	83	149	109	272	230	334
Am. J. Reprod. Immunol.	133	133	140	106	162	133	41	22	82	133	184	136	252
Am. J. Surg.	234	234	246	166	315	234	134.5	94	184	234	407.5	266	512
Am. J. Transplant.	368	368	108	96	122	368	93	60	143	368	207	167	257
AMB Express	43	43				43	28	4.5	50	43			
Ambio	64	64	215	145.5	282	64	176.5	135.5	221.5	64	415.5	345	491.5
Amino Acids	210	210	114.5	95	240	210	94.5	60	130	210	223.5	165	368
An Bras Dermatol	152	152				152	59	39	115	152			
An Pediatr (Barc)	152	152	247.5	228	290	152	92	61.5	136.5	152	356.5	299.5	424
An Sist Sanit Navar	29	29				29	78	59	98	29		14	
An. Acad. Bras. Cienc.	111	111	480	233		111	265	153.5	335.5	111	570	316.5	738.5
Anaerobe	110	110	79	64	96	110	121	89	173	110	204	163	268
Anaesthesiol Intensive Ther	31	31				31				31			
Anaesthesist	39	39	46	41	67	39	112	78.5	143	39	158	128.5	190
Anal Bioanal Chem	906	906	78	65	103	906	68	51	90	906	157.5	130	193
Anal. Biochem.	386	386	112	106	120	386	72	49	99	386	185	162	211
Anal. Chim. Acta	807	807	61	55	69	807	85	65.5	118	807	151	128	183
Anat Cell Biol	30	30	36	23	92	30	72.5	37	105	30	119	79	207
Anat Histol Embryol	62	62	364	305	419	62	182	109	245	62	538	489	607
Anat Rec (Hoboken)	152	152	106	94	130.5	152	113	71.5	194	152	248	173.5	339.5
Anat Res Int	13	13				13	70	56	97	13			
Anat Sci Educ	60	60				60	115	90	160	60			
Anat Sci Int	47	47	119	77	174.5	47	103	74	156	47	246	194	280
Andrology	135	135	105	89	128	135	78	50	127	135	203	154	251
Anemia	17	17				17	78	58	80	17			
Anesth Pain Med	39	39	117	65		39	51	30.5	74	39	200	103	
Anesthesiol Res Pract	20	20				20	75	52	101	20			
Angew. Chem. Int. Ed. Engl.	2569	2569				2569				2569	122	100	149
Angiogenesis	103	103	129	111	150	103	130	88	174.5	103	250	216	299.5
Anim Behav	7	7	92	84.5	96.5	7	162	104	168	7	249	201	260
Anim Cogn	117	117	175	157	221	117	181	102	286	117	358	293	462
Anim. Reprod. Sci.	194	194	61	50	66	194	171	107	259	194	227	169	317
Anim. Sci. J.	97	97	240	214	272	97	98	51	152	97	348	277	402
Ann Biomed Eng	216	216	155	116.5	171	216	105	79.5	144	216	264	223	302
Ann Burns Fire Disasters	16	16				16				16	77	64.5	116
Ann Cardiol Angeiol (Paris)	41	41	140	80	383	41	50	17	192	41	190	114	567
Ann Cardiothorac Surg	89	89		36		89	24	17	34	89	70	32	
Ann Chir Plast Esthet	52	52	150	117	288	52	45.5	21	77	52	210	158	337
Ann Clin Transl Neurol	2	2				2				2			
Ann Coloproctol	12	12	33	12	183	12	60.5	26	81.5	12	90.5	38	195
Ann Dermatol	43	43	339	271.5	437.5	43	149	81	198	43	490	389.5	600
Ann Dermatol Venereol	126	126	122	85	223	126	107	65	147	126	264	176	451
Ann Diagn Pathol	53	53	173	138	224	53	37	12	69	53	218	180	296
Ann Dyslexia	16	16	367	285	367	16	274	194.5	447.5	16	578.5	532.5	774
Ann Emerg Med	152	152	188	151	236	152	99	54	170	152	308	258.5	390.5
Ann Epidemiol	139	139	75	62	85	139	125	100.5	158.5	139	200	165	263.5
Ann Fr Anesth Reanim	118	118	75	64	97	118	144	67	189	118	222	152	271
Ann Gastroenterol	102	102		93		102	21	10	53	102	207.5	92	
Ann Gen Psychiatry	19	19				19	92	52.5	146.5	19		70	
Ann Indian Acad Neurol	78	78	184.5	135	204	78	63	38	113	78	255	204	367
Ann Intensive Care	26	26				26	90	71	122	26			
Ann Lab Med	92	92	74	55	94	92	138.5	123	172.5	92	229	187	248
Ann Med Surg (Lond)	10	10				10	57	57	57	10			
Ann Neurosci	21	21	51	28		21	83	74	100	21	105	68	125
Ann Nucl Med	128	128	109	98	122	128	73.5	50	113	128	185.5	160	232.5
Ann Occup Environ Med	15	15				15	126	64.5	230	15		179.5	
Ann Pathol	36	36	47	10.5	81.5	36	216	1	412	36	252.5	12.5	510
Ann Pediatr Endocrinol Metab	20	20				20	28	23	38.5	20	23.5	7.5	
Ann Pharm Fr	53	53	69	48	84	53	70	42	91	53	142	106	172
Ann Phys (N Y)	1	1				1				1			
Ann Phys Rehabil Med	69	69	63	50	93	69	217	146	291	69	290	214	359
Ann Rehabil Med	29	29	215	150	281	29	134	103	196	29	346	255	436
Ann Surg Innov Res	13	13				13	141	102	146	13			
Ann Thorac Med	26	26	105	59	182	26	55	37	77	26	180	107	233
Ann Transl Med	27	27	109	70	171	27	35	31	45.5	27	201	110	293
Ann Vasc Dis	105	105				105	73	7	102	105		98	
Ann Vasc Surg	292	292	301	251	360	292	132	97.5	177.5	292	462	380	529
Ann. Allergy Asthma Immunol.	141	141	75	69	84	141	84	65	120	141	165	137	202
Ann. Anat.	66	66	181	125	208	66	91	53	144	66	266	178	370
Ann. Clin. Microbiol. Antimicrob.	18	18				18	68.5	51	95	18			
Ann. Endocrinol. (Paris)	19	19	73	66.5	73	19	91	65	152	19	215	133	238.5
Ann. Hematol.	219	219	139	119.5	160	219	89	63	138	219	232	199	297.5
Ann. Hum. Genet.	68	68	143.5	126	170	68	128.5	79	187	68	289	235	327
Ann. Microbiol.	3	3				3				3			
Ann. Neurol.	132	132	121	91	143	132	117.5	85	153	132	240	189	290
Ann. Nutr. Metab.	115	115				115	132	71	178	115	394	167.5	
Ann. Surg. Oncol.	488	488				488				488	292	246	362.5
Ann. Thorac. Surg.	1083	1083	134	101	161	1083	84	58.5	115	1083	226	183	274
Antarct. Sci.	2	2				2				2			
Anticancer Agents Med Chem	65	65	218	194	239	65	87	45	126	65	305	273	360
Antiinflamm Antiallergy Agents Med Chem	25	25				25	96	52	126	25	91	71	
Antimicrob Resist Infect Control	25	25				25	112	72	121	25			
Antiviral Res.	241	241	64	56	74	241	88	65	132	241	156	129	203
Antonie Van Leeuwenhoek	216	216	84	68.5	102	216	73.5	54	107	216	165	139	204.5
AoB Plants	41	41				41	84	58	138	41	190	67	
AORN J	56	56	66	55.5	72.5	56	182	46	340	56	239.5	116	404.5
APMIS	130	130	271	227	296	130	117	82	178	130	389.5	326	438
Appetite	264	264	120.5	101.5	135	264	153	111	218	264	286	233	343.5
Appl Clin Inform	62	62				62	80	66	106	62			
Appl Energy	1	1				1				1			
Appl Ergon	156	156	233	208	276	156	288.5	210	438.5	156	530	443	718.5
Appl Magn Reson	13	13				13				13		265	
Appl Nurs Res	54	54	130.5	91	174	54	187	114	239	54	316.5	280	385
Appl Phys Lett	22	22	15.5	12	23	22	66	54	107	22	89.5	68	134
Appl Plant Sci	89	89	164	130	184	89	60	47	85	89	223	191	256
Appl Radiat Isot	267	267	125	110	160.5	267	136	83	191.5	267	295	214	378
Appl Res Qual Life	2	2				2				2			
Appl Surf Sci	1	1				1				1			
Appl. Biochem. Biotechnol.	618	618	66	54	76	618	114	78	169	618	181.5	148	243
Appl. Microbiol. Biotechnol.	880	880	110	67	227	880	60	41	84	880	180	126	295
APSP J Case Rep	70	70				70	23	16	34	70		187	
Aquat Biosyst	10	10				10	124.5	69	341	10		226	
Aquat. Toxicol.	285	285	99	76	115	285	86	59	128	285	190	153	231
Arab J Gastroenterol	51	51	81	40	119	51	286	174	356	51	294	240	437
Arch Argent Pediatr	35	35				35	91	54.5	126	35			
Arch Bone Jt Surg	10	10				10	74.5	57	92	10	53	41	86
Arch Cardiol Mex	44	44				44	182	128.5	317	44			
Arch Cardiovasc Dis	61	61	126	98	690	61	82	36	108	61	252	173	740
Arch Gerontol Geriatr	165	165				165	127	84	163	165			
Arch Ital Urol Androl	20	20				20	0	0	0	20			
Arch Med Sci	120	120	493	277	640	120	102.5	59.5	150	120	614.5	441.5	757
Arch Orthop Trauma Surg	216	216				216				216	209	163.5	263
Arch Osteoporos	69	69				69	63	36	133	69		126	
Arch Pediatr	227	227	75	69	82	227	166	110	249.5	227	243	177	331
Arch Phys Med Rehabil	295	295	157	130	180	295	94	57.5	129	295	258	214.5	298
Arch Plast Surg	110	110	54	34	81	110	64	42	90	110	127	89	160
Arch Prev Riesgos Labor	7	7				7	135	123.5	173	7			
Arch Psychiatr Nurs	32	32	121	102.5	148	32	140	89	206	32	301	234	331.5
Arch Public Health	21	21				21	81	68	120	21			
Arch Sex Behav	141	141	308	220	362	141	316	250	500	141	677	571	784
Arch Soc Esp Oftalmol	124	124	338	254.5	446	124	179	89.5	346.5	124	534	384	743.5
Arch Trauma Res	49	49				49	34	8	67	49		93	
Arch Womens Ment Health	57	57	131	112	162	57	160	107	251	57	308	238	378
Arch. Biochem. Biophys.	237	237	86	62	124	237	68	46	88	237	165	132	210
Arch. Bronconeumol.	79	79	198	154	245	79	75	48.5	97.5	79	284	221	314.5
Arch. Dermatol. Res.	147	147	143	113.5	173	147	105	69.5	140	147	238	211.5	295
Arch. Environ. Contam. Toxicol.	143	143	134	119.5	150	143	130	90	179	143	269	227	318.5
Arch. Gynecol. Obstet.	372	372	177	154	191	372	129.5	84	212	372	303.5	253	395
Arch. Immunol. Ther. Exp. (Warsz.)	33	33	128	101	145	33	193	173	223	33	333	303	367
Arch. Med. Res.	85	85	38	26	80	85	171	128	196	85	190	159	217
Arch. Microbiol.	89	89	75	59	87	89	104	65	133	89	192	136	236
Arch. Oral Biol.	176	176	149	104	173	176	145	109	216	176	318	264	356.5
Arch. Pharm. (Weinheim)	95	95	69	60	79	95	64	48	82	95	137	116	151
Arch. Pharm. Res.	206	206	116.5	82	213	206	80	56	106	206	205	156	314
Arch. Toxicol.	171	171	144	125	194	171	91	49	117	171	239	175.5	295
Arch. Virol.	355	355	187	174	203	355	67	47	92.5	355	260	229.5	291.5
Archaea	46	46				46	69	51	104	46		64	
Arerugi	10	10	12	4	49	10	149	117	150	10	159.5	126	217
Arq Bras Cir Dig	54	54				54	76	56	107	54		249	
Arq Bras Endocrinol Metabol	32	32	123.5	100	183	32	94.5	48	163	32	246.5	173	335
Arq Bras Oftalmol	38	38				38	123	40	211	38			
Arq Gastroenterol	32	32				32	117.5	66.5	142	32			
Arq Neuropsiquiatr	73	73	140	119	152	73	39	7	150	73	195	152	271
Arq. Bras. Cardiol.	130	130	135.5	115	159	130	132	102	186	130	277	230	314
Arthritis	29	29				29	88	46	111	29		112	
Arthritis Care Res (Hoboken)	122	122	186.5	155	208	122	154	119	185	122	335	280	380
Arthritis Res. Ther.	156	156				156	203	132.5	242	156		101.5	
Arthritis Rheum.	144	144	97	89	105.5	144	170.5	137	267	144	275.5	232.5	361
Arthropod Struct Dev	59	59	100	75	118	59	69	46	142.5	59	167	153	247.5
Arthrosc Tech	115	115				115	53	38	76	115		233	
Arthroscopy	238	238	112	86	139	238	199	140	239	238	300	241	380
Artif Intell Med	63	63	68	53	84	63	278	256	367	63	325	323	441
Arts Health	5	5		91		5		183		5	437	274	571
ARYA Atheroscler	53	53	84	42	117	53	77	67	131	53	161	104	229
Asia Pac Allergy	17	17	41	8		17	11	6	85	17	81	14	262
Asia Pac Fam Med	3	3				3				3			
Asia Pac Psychiatry	52	52	286.5	148	450.5	52	139	84.5	210	52	455.5	272.5	569
Asian J Endosc Surg	41	41	165	121	191	41	95	59	135	41	251	202	315
Asian J Psychiatr	83	83	167	141	184	83	143	117	203.5	83	314	259	383
Asian J Sports Med	38	38	134	118	160	38	162	139	205	38	306.5	266	358
Asian J Surg	44	44	172	144	214	44	184.5	137.5	267.5	44	346	291	454.5
Asian J. Androl.	106	106	148.5	111	171	106	75	62	100	106	223	196	254
Asian Nurs Res (Korean Soc Nurs Sci)	36	36	88	75	109.5	36	191.5	158	225	36	283	229	348
Asian Pac J Trop Biomed	105	105	19	11	38	105	55	43	63	105	77	64	93
Asian Pac J Trop Med	60	60	46	16	157.5	60	66	66	103	60	123	93	263
Asian Pac. J. Allergy Immunol.	18	18	157.5	61	236	18	38.5	0	148	18	204	102	379
Asian Spine J	49	49	379	330	400	49	77	42	123	49	476	415	526
Asian-australas. J. Anim. Sci.	132	132	125	107	152	132	67.5	54	83	132	199.5	169.5	229.5
ASN Neuro	3	3				3				3			
Aten Primaria	55	55	205	164	297	55	59	44	128	55	330	243	433.5
Atherosclerosis	483	483	81	71	91.5	483	113	66	166	483	198	154	243
Atten Defic Hyperact Disord	14	14	186	143	217	14	107	66	176	14	296.5	212	359
Audiol. Neurootol.	63	63		123.5		63	147	113	203	63	298	152	
Auris Nasus Larynx	70	70	264.5	224	316	70	166	127	218	70	439	406	493
Aust Crit Care	24	24	212	157	260	24	137	116	198.5	24	333	289	465.5
Aust Dent J	29	29	278	258	307	29	75	39	144	29	352	317	379
Aust Health Rev	56	56	95	60	233	56	173.5	135.5	226	56	319	218	422
Aust J Prim Health	57	57	261	161	354	57	149	105	200	57	419	315	578
Aust N Z J Obstet Gynaecol	84	84	139.5	110	190	84	88	73	130.5	84	262	200	304
Aust N Z J Public Health	3	3				3				3			
Australas Emerg Nurs J	18	18	77.5	57	87	18	181	94	230	18	240.5	147	317
Australas Phys Eng Sci Med	29	29	43	34	51	29	183	127	257	29	226	154	291
Australas. J. Dermatol.	68	68	364.5	211	493	68	65	34.5	128.5	68	426.5	270	613
Autism Res	48	48	162	113	170	48	198	143	288	48	346.5	287	428.5
Autism Res Treat	29	29				29	95	76	114	29			
Autoimmun Rev	68	68	146	128	166	68	12.5	8.5	16	68	160.5	139	182.5
Autoimmune Dis	43	43				43	67	50.5	103	43			
Auton Autacoid Pharmacol	5	5	123	123	206	5	79	79	123	5	202	202	329
Auton Neurosci	112	112	149	100	190.5	112	117.5	77	157	112	282	217	325
Avicenna J Med Biotechnol	17	17	113	82	145	17	88	65	95	17	202	162	233
Avicenna J Phytomed	30	30		79		30	77	50	104	30	178	89	
Bacteriophage	8	8				8	54.5	30	144.5	8		59.5	
Balkan Med J	50	50	169	131	206	50	117.5	87	173	50	285	249	371
Basic Clin Neurosci	41	41		121		41	88	53	140	41		114	
Basic Clin. Pharmacol. Toxicol.	117	117	147	130	169	117	79	62	106	117	231	201	260
Basic Res. Cardiol.	105	105	42	34	57	105	116	69	209	105	164	128	245
Behav Brain Funct	18	18				18	166.5	158	190	18		81	
Behav Res Ther	101	101	91	80	103	101	133	95	185	101	232	178	275
Behav Sci (Basel)	42	42	37	24	54	42	50	39	66	42	87	68	114
Behav Sci Law	45	45				45	156	104	203	45			
Behav Ther	42	42	149	110	218	42	184	132	252	42	357	325	434
Behav. Brain Res.	698	698	95	85	109	698	73	48	140	698	170	144	239
Behav. Ecol.	9	9	115	106	117	9	149	111	239	9	257	228	345
Behav. Ecol. Sociobiol. (Print)	8	8		96.5		8	108	67.5	128	8		208.5	
Behav. Genet.	60	60	50	36	81	60	212	159	236	60	265.5	208	311
Behav. Processes	164	164	94	74.5	113	164	138	88.5	182.5	164	235.5	186	282
Beilstein J Nanotechnol	140	140				140	79	61	110.5	140			
Beilstein J Org Chem	429	429				429	64	48	84	429			
Best Pract Res Clin Anaesthesiol	30	30	39	32	61	30	24.5	15	50	30	77.5	68	97
Best Pract Res Clin Gastroenterol	46	46	70.5	41		46	44	25	83	46	76	56	123
Best Pract Res Clin Obstet Gynaecol	58	58	131	116	179	58	50	36	110	58	229	170	250
Best Pract Res Clin Rheumatol	11	11	41	30.5		11	12	5.5	18.5	11	64	35.5	
Biling (Camb Engl)	1	1				1				1			
Biochem Mol Biol Educ	56	56				56	73	18.5	141	56			
Biochem Res Int	29	29				29	64	54	84	29			
Biochem. Biophys. Res. Commun.	1604	1604	41	36	49	1604	6	3	11	1604	49	42	59
Biochem. Eng. J.	1	1				1				1			
Biochem. Genet.	63	63	216	191.5	254	63	247	201.5	288	63	470	426.5	505.5
Biochem. Pharmacol.	392	392	82	73	95	392	50	39.5	68	392	135.5	119	159
Biochim. Biophys. Acta	2063	2063	124	98	178	2063	87	61	133	2063	240	186.5	302
Biochimie	246	246	109	95	134	246	105	62	151	246	225	188	276
BioData Min	7	7				7	126	111.5	214	7			
Biodegradation	69	69	270	236	285	69	142	115	177	69	407	366	430
Biodivers Data J	36	36				36	30	21	42	36			
Bioelectrochemistry	42	42	200.5	160	245	42	194.5	109	285	42	457	340	530
Bioelectromagnetics	72	72	164.5	152.5	201	72	289	213.5	367	72	467.5	374.5	542
Bioessays	2	2				2				2			
Biofactors	90	90				90	55.5	37	81	90			
Biogerontology	54	54	33	27	77	54	91	64	128	54	146	99	176
Bioimpacts	44	44				44	44	20.5	78.5	44			
Bioinformation	264	264				264	4	2	12	264			
Bioinorg Chem Appl	38	38				38	81.5	63	106	38			
Biointerphases	14	14	260	82	309	14	42.5	29	56	14	301	109	353
Biol Aujourdhui	38	38				38				38			
Biol Cybern	29	29	86	78	107	29	297	217	409	29	415	326	500
Biol Mood Anxiety Disord	16	16				16	71	54.5	95	16			
Biol Open	169	169	106	84		169	53	33	75	169	165	134	
Biol Philos	5	5		36		5	83	83	121	5		119	
Biol Proced Online	9	9				9	67	33	82	9		99	
Biol Psychol	122	122	83	62	101	122	217	159	269	122	304	241	387
Biol Rev Camb Philos Soc	55	55	231	206	257	55	314	253	365	55	547	492	601.5
Biol Sex Differ	14	14				14	76.5	37	122	14			
Biol Ther	7	7				7				7	79	31	
Biol Trace Elem Res	333	333	79	59	96	333	65	37	93	333	140	114	172
Biol. Blood Marrow Transplant.	245	245	79	70	97	245	73	41	111	245	164	130	206
Biol. Cell	52	52	89.5	77	104	52	107	65	145	52	193	161	248.5
Biol. Chem.	86	86	106	93	127	86	66	46	103	86	173	149	200
Biol. Direct	21	21				21	118	91	157	21			
Biol. Invasions	1	1				1				1			
