Jname	MedianWave_ap	Q25Wave_ap	Q75Wave_ap	MedianWave_ra	Q25Wave_ra	Q75Wave_ra	MedianWave_rp	Q25Wave_rp	Q75Wave_rp
Acta Otorhinolaryngol Ital	148	144	208	76	23	118.5	242	167	383
Acta Otorrinolaringol Esp				83	55	123			
Acta Paediatr.	97	87	105	93	67	134	191	158	234
Acta Parasitol.							113	107.5	120.5
Acta Pharmacol. Sin.	133	121	147	88	68	122	228	198	263
Acta Physiol (Oxf)	102	75	138	106	73	172	230	150	344
Acta Psychiatr Scand									
Acta Psychol (Amst)	79	63	93	191	151	253	281	232	364.5
Acta Radiol Short Rep				95	37.5	124.5			
Acta Theriol.		236		205	198	231	64	63	349
Acta Trop.	104.5	92	123.5	135	87.5	185.5	240.5	196	313
Acta Vet. Scand.				135.5	90	210		70	
Actas Dermosifiliogr	291	223	522	109	70	163	448	308	713
Actas Esp Psiquiatr				0	0	0			
Actas Urol Esp	295	223		29	5	74	330	247.5	
Addict Behav	124	108	138	150	123.5	195	278	248	339.5
Addict Health				102	96	107			
Addict Res Theory									
Addict Sci Clin Pract				179	157	224		191	
Addiction	149	133	179	197	147	268	358	300	449
Adipocyte	106	82	143	46	25	70	171	132	192
Adv Appl Bioinform Chem									
Adv Bioinformatics				66.5	53	129	57	11	
Adv Biol Regul	109	65.5	118	4	2	7	110	81.5	120.5
Adv Biomed Res	132	83	286	64	35	95	198	132	313
Adv Chronic Kidney Dis	88	75	96	60	31.5	76	153	109.5	172
Adv Cogn Psychol				73	42	135		139	
Adv Colloid Interface Sci	129	89	189	114	76	150	273	205	345
Adv Health Sci Educ Theory Pract	398	331	427	125	90	156	532	449	558
Adv Healthc Mater							272	240	299
Adv Hematol				66	44	74			
Adv Life Course Res	114.5	88	143	194	144	238	306	262	351
Adv Math (N Y)									
Adv Orthop				83	57	162	133	40	
Adv Pharm Bull		46		34	26	49		65	
Adv Pharmacol Sci				63	42	85.5			
Adv Phys									
Adv Prev Med				74	55.5	87		89	
Adv Ther							51	33	75
Adv Urol				62	45	90.5			
Adv Virol				65	55.5	121			
Adv Wound Care (New Rochelle)							222	147.5	302
Adv. Drug Deliv. Rev.	131	82	238.5	126	67	160.5	289	186	388.5
Adv. Mater. Weinheim							163	141	189
Adv. Synth. Catal.									
Aerobiologia (Bologna)									
Aesthetic Plast Surg	105	84	138	146	101.5	201	255	210.5	330.5
Afr J Psychiatry (Johannesbg)	340.5	280	395	160.5	89	241	473	394	640
Age (Dordr)	337	242	446	142	97	193	510	416	560
Ageing Res. Rev.	126	71.5	248.5	95	64	126.5	211	152	293.5
Aggress Behav		196.5		231	171	315		549	
Aggress Violent Behav									
Aging Clin Exp Res	160	100	200	97	48.5	141	267	129.5	368
Aging Dis	111	77.5	202	38	22	45.5	155	114.5	243.5
AIDS Res Ther				111	68	205		67	
AIDS Res Treat				96	70.5	138		106.5	
AIP Adv									
Air Med. J.				85.5	13	197			
Air Qual Atmos Health									
AJP Rep	222	198	240	43	18	112	277	244	294
Alcohol	101	78	120	145	89	200	234.5	189.5	302
Alcohol. Clin. Exp. Res.	221	210	233	126	88	185	351	318	410
Algorithms Mol Biol				191	48	201.5			
Aliment. Pharmacol. Ther.	61	54	71	59	28	111	122	88	173
Allergol Immunopathol (Madr)				61.5	44	84			
Allergol Int	175	149	205	103	55	168	257	215	288
Allergy									
Allergy Asthma Clin Immunol				89.5	54.5	114.5			
Allergy Asthma Immunol Res	248	208	273	77.5	40	111	334	277	366
Altern Ther Health Med									
ALTEX									
Alzheimers Dement	367	303.5	408.5	143.5	98	195	503	402	619.5
Alzheimers Res Ther				102.5	69	135		150	
Am J Addict				141	82	203			
Am J Blood Res				53	28	60.5			
Am J Cancer Res				27	19	37.5			
Am J Cardiovasc Dis				35	15	52			
Am J Case Rep				46	29	68			
Am J Clin Exp Immunol				24	12	36			
Am J Clin Exp Urol				18.5	9	33			
Am J Emerg Med	118	95	139	22	4	55	147	126	192
Am J Geriatr Psychiatry	499.5	333	568	210	129	281	696.5	548	804
Am J Infect Control	268	209	319.5	66.5	49	90	333	289	393
Am J Neurodegener Dis				29	23	41.5			
Am J Nucl Med Mol Imaging				26.5	20.5	54.5			
Am J Orthod Dentofacial Orthop	152	149	213	92	60	153	274	241	424
Am J Otolaryngol				25	10	60			
Am J Pharm Educ	161.5	150	174	65	53	80.5	227.5	204	248.5
Am J Prev Med	115	103	128	123	109	148	239	214	271
Am J Stem Cells				48	42	54.5			
Am J Transl Res				26	16	41			
Am. Heart J.	92	81	104	113	75	154	207	171	245
Am. J. Cardiol.	126	118	132	59	40	82.5	185.5	163	207
Am. J. Gastroenterol.	109	93	134	133	99	181	258	224	286
Am. J. Hematol.	95	83	115	44	11	79.5	148	114.5	181
Am. J. Hum. Biol.				118	75	152			
Am. J. Hum. Genet.	49	38	62	82	60	121	140	108	168
Am. J. Kidney Dis.	174.5	154	202	130	100	177	321	272	369
Am. J. Med.	168	118	202	52.5	14	117	231	192	285
Am. J. Med. Genet. A	126	113	144.5	130	79.5	210	264	206.5	356
Am. J. Med. Genet. B Neuropsychiatr. Genet.	87	69	144	122	68	191	253	198	306
Am. J. Nephrol.				60	40	95		62	
Am. J. Obstet. Gynecol.	104	86	127	102	76	133	212.5	173	256
Am. J. Ophthalmol.	138	128	149	112	77.5	145	249	214	293
Am. J. Pathol.	103	94	110	121	84	175	230	191	276
Am. J. Phys. Anthropol.	89	81	99	163	111	219	253	200	325
Am. J. Primatol.	154	140	171	109	83	149	272	230	334
Am. J. Reprod. Immunol.	140	106	162	41	22	82	184	136	252
Am. J. Surg.	246	166	315	134.5	94	184	407.5	266	512
Am. J. Transplant.	108	96	122	93	60	143	207	167	257
AMB Express				28	4.5	50			
Ambio	215	145.5	282	176.5	135.5	221.5	415.5	345	491.5
Amino Acids	114.5	95	240	94.5	60	130	223.5	165	368
An Bras Dermatol				59	39	115			
An Pediatr (Barc)	247.5	228	290	92	61.5	136.5	356.5	299.5	424
An Sist Sanit Navar				78	59	98		14	
An. Acad. Bras. Cienc.	480	233		265	153.5	335.5	570	316.5	738.5
Anaerobe	79	64	96	121	89	173	204	163	268
Anaesthesiol Intensive Ther									
Anaesthesist	46	41	67	112	78.5	143	158	128.5	190
Anal Bioanal Chem	78	65	103	68	51	90	157.5	130	193
Anal. Biochem.	112	106	120	72	49	99	185	162	211
Anal. Chim. Acta	61	55	69	85	65.5	118	151	128	183
Anat Cell Biol	36	23	92	72.5	37	105	119	79	207
Anat Histol Embryol	364	305	419	182	109	245	538	489	607
Anat Rec (Hoboken)	106	94	130.5	113	71.5	194	248	173.5	339.5
Anat Res Int				70	56	97			
Anat Sci Educ				115	90	160			
Anat Sci Int	119	77	174.5	103	74	156	246	194	280
Andrology	105	89	128	78	50	127	203	154	251
Anemia				78	58	80			
Anesth Pain Med	117	65		51	30.5	74	200	103	
Anesthesiol Res Pract				75	52	101			
Angew. Chem. Int. Ed. Engl.							122	100	149
Angiogenesis	129	111	150	130	88	174.5	250	216	299.5
Anim Behav	92	84.5	96.5	162	104	168	249	201	260
Anim Cogn	175	157	221	181	102	286	358	293	462
Anim. Reprod. Sci.	61	50	66	171	107	259	227	169	317
Anim. Sci. J.	240	214	272	98	51	152	348	277	402
Ann Biomed Eng	155	116.5	171	105	79.5	144	264	223	302
Ann Burns Fire Disasters							77	64.5	116
Ann Cardiol Angeiol (Paris)	140	80	383	50	17	192	190	114	567
Ann Cardiothorac Surg		36		24	17	34	70	32	
Ann Chir Plast Esthet	150	117	288	45.5	21	77	210	158	337
Ann Clin Transl Neurol									
Ann Coloproctol	33	12	183	60.5	26	81.5	90.5	38	195
Ann Dermatol	339	271.5	437.5	149	81	198	490	389.5	600
Ann Dermatol Venereol	122	85	223	107	65	147	264	176	451
Ann Diagn Pathol	173	138	224	37	12	69	218	180	296
Ann Dyslexia	367	285	367	274	194.5	447.5	578.5	532.5	774
Ann Emerg Med	188	151	236	99	54	170	308	258.5	390.5
Ann Epidemiol	75	62	85	125	100.5	158.5	200	165	263.5
Ann Fr Anesth Reanim	75	64	97	144	67	189	222	152	271
Ann Gastroenterol		93		21	10	53	207.5	92	
Ann Gen Psychiatry				92	52.5	146.5		70	
Ann Indian Acad Neurol	184.5	135	204	63	38	113	255	204	367
Ann Intensive Care				90	71	122			
Ann Lab Med	74	55	94	138.5	123	172.5	229	187	248
Ann Med Surg (Lond)				57	57	57			
Ann Neurosci	51	28		83	74	100	105	68	125
Ann Nucl Med	109	98	122	73.5	50	113	185.5	160	232.5
Ann Occup Environ Med				126	64.5	230		179.5	
Ann Pathol	47	10.5	81.5	216	1	412	252.5	12.5	510
Ann Pediatr Endocrinol Metab				28	23	38.5	23.5	7.5	
Ann Pharm Fr	69	48	84	70	42	91	142	106	172
Ann Phys (N Y)									
Ann Phys Rehabil Med	63	50	93	217	146	291	290	214	359
Ann Rehabil Med	215	150	281	134	103	196	346	255	436
Ann Surg Innov Res				141	102	146			
Ann Thorac Med	105	59	182	55	37	77	180	107	233
Ann Transl Med	109	70	171	35	31	45.5	201	110	293
Ann Vasc Dis				73	7	102		98	
Ann Vasc Surg	301	251	360	132	97.5	177.5	462	380	529
Ann. Allergy Asthma Immunol.	75	69	84	84	65	120	165	137	202
Ann. Anat.	181	125	208	91	53	144	266	178	370
Ann. Clin. Microbiol. Antimicrob.				68.5	51	95			
Ann. Endocrinol. (Paris)	73	66.5	73	91	65	152	215	133	238.5
Ann. Hematol.	139	119.5	160	89	63	138	232	199	297.5
Ann. Hum. Genet.	143.5	126	170	128.5	79	187	289	235	327
Ann. Microbiol.									
Ann. Neurol.	121	91	143	117.5	85	153	240	189	290
Ann. Nutr. Metab.				132	71	178	394	167.5	
Ann. Surg. Oncol.							292	246	362.5
Ann. Thorac. Surg.	134	101	161	84	58.5	115	226	183	274
Antarct. Sci.									
Anticancer Agents Med Chem	218	194	239	87	45	126	305	273	360
Antiinflamm Antiallergy Agents Med Chem				96	52	126	91	71	
Antimicrob Resist Infect Control				112	72	121			
Antiviral Res.	64	56	74	88	65	132	156	129	203
Antonie Van Leeuwenhoek	84	68.5	102	73.5	54	107	165	139	204.5
AoB Plants				84	58	138	190	67	
AORN J	66	55.5	72.5	182	46	340	239.5	116	404.5
APMIS	271	227	296	117	82	178	389.5	326	438
Appetite	120.5	101.5	135	153	111	218	286	233	343.5
Appl Clin Inform				80	66	106			
Appl Energy									
Appl Ergon	233	208	276	288.5	210	438.5	530	443	718.5
Appl Magn Reson								265	
Appl Nurs Res	130.5	91	174	187	114	239	316.5	280	385
Appl Phys Lett	15.5	12	23	66	54	107	89.5	68	134
Appl Plant Sci	164	130	184	60	47	85	223	191	256
Appl Radiat Isot	125	110	160.5	136	83	191.5	295	214	378
Appl Res Qual Life									
Appl Surf Sci									
Appl. Biochem. Biotechnol.	66	54	76	114	78	169	181.5	148	243
Appl. Microbiol. Biotechnol.	110	67	227	60	41	84	180	126	295
APSP J Case Rep				23	16	34		187	
Aquat Biosyst				124.5	69	341		226	
Aquat. Toxicol.	99	76	115	86	59	128	190	153	231
Arab J Gastroenterol	81	40	119	286	174	356	294	240	437
Arch Argent Pediatr				91	54.5	126			
Arch Bone Jt Surg				74.5	57	92	53	41	86
Arch Cardiol Mex				182	128.5	317			
Arch Cardiovasc Dis	126	98	690	82	36	108	252	173	740
Arch Gerontol Geriatr				127	84	163			
Arch Ital Urol Androl				0	0	0			
Arch Med Sci	493	277	640	102.5	59.5	150	614.5	441.5	757
Arch Orthop Trauma Surg							209	163.5	263
Arch Osteoporos				63	36	133		126	
Arch Pediatr	75	69	82	166	110	249.5	243	177	331
Arch Phys Med Rehabil	157	130	180	94	57.5	129	258	214.5	298
Arch Plast Surg	54	34	81	64	42	90	127	89	160
Arch Prev Riesgos Labor				135	123.5	173			
Arch Psychiatr Nurs	121	102.5	148	140	89	206	301	234	331.5
Arch Public Health				81	68	120			
Arch Sex Behav	308	220	362	316	250	500	677	571	784
Arch Soc Esp Oftalmol	338	254.5	446	179	89.5	346.5	534	384	743.5
Arch Trauma Res				34	8	67		93	
Arch Womens Ment Health	131	112	162	160	107	251	308	238	378
Arch. Biochem. Biophys.	86	62	124	68	46	88	165	132	210
Arch. Bronconeumol.	198	154	245	75	48.5	97.5	284	221	314.5
Arch. Dermatol. Res.	143	113.5	173	105	69.5	140	238	211.5	295
Arch. Environ. Contam. Toxicol.	134	119.5	150	130	90	179	269	227	318.5
Arch. Gynecol. Obstet.	177	154	191	129.5	84	212	303.5	253	395
Arch. Immunol. Ther. Exp. (Warsz.)	128	101	145	193	173	223	333	303	367
Arch. Med. Res.	38	26	80	171	128	196	190	159	217
Arch. Microbiol.	75	59	87	104	65	133	192	136	236
Arch. Oral Biol.	149	104	173	145	109	216	318	264	356.5
Arch. Pharm. (Weinheim)	69	60	79	64	48	82	137	116	151
Arch. Pharm. Res.	116.5	82	213	80	56	106	205	156	314
Arch. Toxicol.	144	125	194	91	49	117	239	175.5	295
Arch. Virol.	187	174	203	67	47	92.5	260	229.5	291.5
Archaea				69	51	104		64	
Arerugi	12	4	49	149	117	150	159.5	126	217
Arq Bras Cir Dig				76	56	107		249	
Arq Bras Endocrinol Metabol	123.5	100	183	94.5	48	163	246.5	173	335
Arq Bras Oftalmol				123	40	211			
Arq Gastroenterol				117.5	66.5	142			
Arq Neuropsiquiatr	140	119	152	39	7	150	195	152	271
Arq. Bras. Cardiol.	135.5	115	159	132	102	186	277	230	314
Arthritis				88	46	111		112	
Arthritis Care Res (Hoboken)	186.5	155	208	154	119	185	335	280	380
Arthritis Res. Ther.				203	132.5	242		101.5	
Arthritis Rheum.	97	89	105.5	170.5	137	267	275.5	232.5	361
Arthropod Struct Dev	100	75	118	69	46	142.5	167	153	247.5
Arthrosc Tech				53	38	76		233	
Arthroscopy	112	86	139	199	140	239	300	241	380
Artif Intell Med	68	53	84	278	256	367	325	323	441
Arts Health		91			183		437	274	571
ARYA Atheroscler	84	42	117	77	67	131	161	104	229
Asia Pac Allergy	41	8		11	6	85	81	14	262
Asia Pac Fam Med									
Asia Pac Psychiatry	286.5	148	450.5	139	84.5	210	455.5	272.5	569
Asian J Endosc Surg	165	121	191	95	59	135	251	202	315
Asian J Psychiatr	167	141	184	143	117	203.5	314	259	383
Asian J Sports Med	134	118	160	162	139	205	306.5	266	358
Asian J Surg	172	144	214	184.5	137.5	267.5	346	291	454.5
Asian J. Androl.	148.5	111	171	75	62	100	223	196	254
Asian Nurs Res (Korean Soc Nurs Sci)	88	75	109.5	191.5	158	225	283	229	348
Asian Pac J Trop Biomed	19	11	38	55	43	63	77	64	93
Asian Pac J Trop Med	46	16	157.5	66	66	103	123	93	263
Asian Pac. J. Allergy Immunol.	157.5	61	236	38.5	0	148	204	102	379
Asian Spine J	379	330	400	77	42	123	476	415	526
Asian-australas. J. Anim. Sci.	125	107	152	67.5	54	83	199.5	169.5	229.5
ASN Neuro									
Aten Primaria	205	164	297	59	44	128	330	243	433.5
Atherosclerosis	81	71	91.5	113	66	166	198	154	243
Atten Defic Hyperact Disord	186	143	217	107	66	176	296.5	212	359
Audiol. Neurootol.		123.5		147	113	203	298	152	
Auris Nasus Larynx	264.5	224	316	166	127	218	439	406	493
Aust Crit Care	212	157	260	137	116	198.5	333	289	465.5
Aust Dent J	278	258	307	75	39	144	352	317	379
Aust Health Rev	95	60	233	173.5	135.5	226	319	218	422
Aust J Prim Health	261	161	354	149	105	200	419	315	578
Aust N Z J Obstet Gynaecol	139.5	110	190	88	73	130.5	262	200	304
Aust N Z J Public Health									
Australas Emerg Nurs J	77.5	57	87	181	94	230	240.5	147	317
Australas Phys Eng Sci Med	43	34	51	183	127	257	226	154	291
Australas. J. Dermatol.	364.5	211	493	65	34.5	128.5	426.5	270	613
Autism Res	162	113	170	198	143	288	346.5	287	428.5
Autism Res Treat				95	76	114			
Autoimmun Rev	146	128	166	12.5	8.5	16	160.5	139	182.5
Autoimmune Dis				67	50.5	103			
Auton Autacoid Pharmacol	123	123	206	79	79	123	202	202	329
Auton Neurosci	149	100	190.5	117.5	77	157	282	217	325
Avicenna J Med Biotechnol	113	82	145	88	65	95	202	162	233
Avicenna J Phytomed		79		77	50	104	178	89	
Bacteriophage				54.5	30	144.5		59.5	
Balkan Med J	169	131	206	117.5	87	173	285	249	371
Basic Clin Neurosci		121		88	53	140		114	
Basic Clin. Pharmacol. Toxicol.	147	130	169	79	62	106	231	201	260
Basic Res. Cardiol.	42	34	57	116	69	209	164	128	245
Behav Brain Funct				166.5	158	190		81	
Behav Res Ther	91	80	103	133	95	185	232	178	275
Behav Sci (Basel)	37	24	54	50	39	66	87	68	114
Behav Sci Law				156	104	203			
Behav Ther	149	110	218	184	132	252	357	325	434
Behav. Brain Res.	95	85	109	73	48	140	170	144	239
Behav. Ecol.	115	106	117	149	111	239	257	228	345
Behav. Ecol. Sociobiol. (Print)		96.5		108	67.5	128		208.5	
Behav. Genet.	50	36	81	212	159	236	265.5	208	311
Behav. Processes	94	74.5	113	138	88.5	182.5	235.5	186	282
Beilstein J Nanotechnol				79	61	110.5			
Beilstein J Org Chem				64	48	84			
Best Pract Res Clin Anaesthesiol	39	32	61	24.5	15	50	77.5	68	97
Best Pract Res Clin Gastroenterol	70.5	41		44	25	83	76	56	123
Best Pract Res Clin Obstet Gynaecol	131	116	179	50	36	110	229	170	250
Best Pract Res Clin Rheumatol	41	30.5		12	5.5	18.5	64	35.5	
Biling (Camb Engl)									
Biochem Mol Biol Educ				73	18.5	141			
Biochem Res Int				64	54	84			
Biochem. Biophys. Res. Commun.	41	36	49	6	3	11	49	42	59
Biochem. Eng. J.									
Biochem. Genet.	216	191.5	254	247	201.5	288	470	426.5	505.5
Biochem. Pharmacol.	82	73	95	50	39.5	68	135.5	119	159
Biochim. Biophys. Acta	124	98	178	87	61	133	240	186.5	302
Biochimie	109	95	134	105	62	151	225	188	276
BioData Min				126	111.5	214			
Biodegradation	270	236	285	142	115	177	407	366	430
Biodivers Data J				30	21	42			
Bioelectrochemistry	200.5	160	245	194.5	109	285	457	340	530
Bioelectromagnetics	164.5	152.5	201	289	213.5	367	467.5	374.5	542
Bioessays									
Biofactors				55.5	37	81			
Biogerontology	33	27	77	91	64	128	146	99	176
Bioimpacts				44	20.5	78.5			
Bioinformation				4	2	12			
Bioinorg Chem Appl				81.5	63	106			
Biointerphases	260	82	309	42.5	29	56	301	109	353
Biol Aujourdhui									
Biol Cybern	86	78	107	297	217	409	415	326	500
Biol Mood Anxiety Disord				71	54.5	95			
Biol Open	106	84		53	33	75	165	134	
Biol Philos		36		83	83	121		119	
Biol Proced Online				67	33	82		99	
Biol Psychol	83	62	101	217	159	269	304	241	387
Biol Rev Camb Philos Soc	231	206	257	314	253	365	547	492	601.5
Biol Sex Differ				76.5	37	122			
Biol Ther							79	31	
Biol Trace Elem Res	79	59	96	65	37	93	140	114	172
Biol. Blood Marrow Transplant.	79	70	97	73	41	111	164	130	206
Biol. Cell	89.5	77	104	107	65	145	193	161	248.5
Biol. Chem.	106	93	127	66	46	103	173	149	200
Biol. Direct				118	91	157			
Biol. Invasions									
Biol. Psychiatry	203	158	243.5	125	80	175	339	270.5	408
Biol. Res.				103	65	138		114	
Biologicals	85	71	121	106	47	158	195	136	256
Biologics									
Biology (Basel)				43	28.5	61.5			
Biom J	130	96	150	276	192	436	428	312	532
Biomark Res				54	10.5	64	86	44	
Biomaterials	93	85	105	36	19	55	130	112	151
Biomech Model Mechanobiol	312	295	326	146	108	183	465	410	509
Biomed Eng Online				94	69.5	124			
Biomed Opt Express		41		57	45	71		111	
Biomed Pap Med Fac Univ Palacky Olomouc Czech Repub	234	85	422	153	119	192	360	206	485
Biomed Rep	68	54	95	49	39	67	131	107	149
Biomed Res Int				79	56	106			
Biomed Tech (Berl)	62	50	90.5	140	106	165.5	204	166.5	272
Biomed. Chromatogr.	185	173	203	60	40.5	95	253	223	298
Biomed. Environ. Sci.	213.5	123	306	126	87	196	383.5	269	428
Biomed. Pharmacother.	112	88	127	24	18	33	132	118	161
Biomedica		281		215	162.5	309		485	
Biometals	68	44	89	98	47	163	144	113	206
Biometrics	183	152	211	289.5	212	367	487	394	577
Biomicrofluidics				58	43	80			
Biomol Concepts	112.5	100	128	59.5	33	75	166	139.5	187.5
Biomol NMR Assign	405	384	458	73	55	98	495	440	543
Biomol Ther (Seoul)	33	8		47	28	86.5	57	31.5	105
Biomolecules				35	30	49.5			
Bioorg. Chem.	64	58	77	158	118	185	216	182	249
Bioorg. Med. Chem.	76	67	85	58	43	75	136	115	160
Bioorg. Med. Chem. Lett.	66	60	71	56	40	79	122	105	148
Biopharm Drug Dispos	89	81	107	134	80.5	178	236	175.5	269
Biophys Rev									
Biophys. Chem.		78		40.5	29	57		113.5	
Biophys. J.	49	42	57	110	70.5	149	161.5	122.5	204
Biopolymers	149	116	195	81	52	120	247	215	270
Bioprocess Biosyst Eng	237	211.5	257	79	22.5	117	324	270	364.5
Biopsychosoc Med				110	77	256	273.5	61	
Bioresour. Technol.	72	62	84	68	54	87	140	122	168
Biosci Microbiota Food Health				72	46	123	245	64	
Biosens Bioelectron	179	166	193	69	53	83	249	227	270
Biosensors (Basel)	49	27		39	31	57	106	52	
BioSystems	76	49	91	109	69	185	207	137.5	292
BioTechniques	31	19	45	86.5	72	131	133	94	162
Biotechnol Biofuels				105	81	131		84	
Biotechnol J	67	46	109	121	93	149.5	197	171	232
Biotechnol Res Int				73	61	101	37	22	
Biotechnol. Adv.	249	190		128	90	162	364	339.5	
Biotechnol. Appl. Biochem.				74.5	57	98			
Biotechnol. Bioeng.	167	154	178	88.5	69	115	256	232	286
Biotechnol. Lett.	123	116	132	60	39	83	179	161	211
Biotechnol. Prog.									
Bipolar Disord	185	150	241	247	159	417	468	344	556
Birth Defects Res. B Dev. Reprod. Toxicol.	62.5	50	94	49	12	63	113.5	62	159
Birth Defects Res. C Embryo Today	95	35		24	0	42	35	34	36
Birth Defects Res. Part A Clin. Mol. Teratol.	94	54	128.5	77	55.5	109.5	174	139	216
BJOG									
Blood Cancer J				27.5	7	147			
Blood Cells Mol. Dis.	126	109	142	26	9	54	157	136	189
Blood Purif.				154	115.5	170		94	
Blood Res	34.5	14	50	144	111	173	178.5	135.5	201.5
Blood Transfus	258	172	335	81	64	113	349.5	298	417
BMB Rep									
BMC Anesthesiol				229	154	288		46.5	
BMC Biochem.				116	97	209		65	
BMC Bioinformatics				163	126	204	289	68	
BMC Biol.				84	47	111.5			
BMC Biophys				149	100	224		89	
BMC Biotechnol.				144.5	106	184		67	
BMC Cancer				164.5	122	219		70.5	
BMC Cardiovasc Disord				174.5	143	255		80	
BMC Cell Biol.				143.5	114	182.5	128	42.5	
BMC Clin Pathol				175	127	212		65	
BMC Complement Altern Med				166	127	223		105	
BMC Dermatol.				158.5	92	231.5			
BMC Dev. Biol.				128	93.5	157		103	
BMC Ear Nose Throat Disord				101	78	136		204	
BMC Ecol.				156	118	223		67	
BMC Emerg Med				273.5	145	279	196	70	
BMC Endocr Disord				159	133	225		72	
BMC Evol. Biol.				124	92	168		86	
BMC Fam Pract				136	109	184		73	
BMC Gastroenterol				187	134	231	262	69	
BMC Genet.				186	131	241.5		75	
BMC Genomics				155	117	202		81	
BMC Geriatr				158.5	118.5	240		86	
BMC Health Serv Res				228	170	297	291	74	
BMC Hematol									
BMC Immunol.				149	115	185.5	225	71	
BMC Infect. Dis.				181	140	231.5		102	
BMC Int Health Hum Rights				209	140	243	189	82	
BMC Med				107.5	64.5	162.5		86	
BMC Med Educ				207	148.5	260.5	349.5	67.5	
BMC Med Ethics				143	108.5	204.5		69.5	
BMC Med Genomics				130	110	199		196	
BMC Med Imaging				217	164.5	331.5	394	81	
BMC Med Inform Decis Mak				191	144	256		77	
BMC Med Phys				271	271	283		64	
BMC Med Res Methodol				173.5	126.5	247		65	
BMC Med. Genet.				219	157	280	261	82	
BMC Microbiol.				138	99	177		68.5	
BMC Mol. Biol.				156	103	198		184	
BMC Musculoskelet Disord				176	124.5	234		106.5	
BMC Nephrol				158	112.5	203.5	255	62.5	
BMC Neurol				197.5	140	280.5		74	
BMC Neurosci				173	125	214		105	
BMC Nurs				212.5	163.5	277.5		103	
BMC Ophthalmol				190.5	151	269		11	
BMC Oral Health				138.5	103.5	192.5		63	
BMC Palliat Care				142	87	169.5		76	
BMC Pediatr				170	124.5	218.5		135	
BMC Pharmacol Toxicol				140	114	261		233	
BMC Physiol.				142	106	250		203	
BMC Plant Biol.				139	89	198		83.5	
BMC Pregnancy Childbirth				161	106	218		63	
BMC Psychiatry				169	109	255	357	78	
BMC Psychol				185	129	267		16	
BMC Public Health				183	134	241.5		72	
BMC Pulm Med				183.5	154	235		74	
BMC Res Notes				152.5	102	213		81	
BMC Sports Sci Med Rehabil				291	246	340	134	76	369
BMC Struct. Biol.				171.5	144	215			
BMC Surg				215	154	285		62	
BMC Syst Biol				193	153	260	132	39	
BMC Urol				133	85	166.5		35	
BMC Vet. Res.				147	104	200		81	
BMC Womens Health				200	164	306	393	85	
Body Image	81	59	115.5	206	166	262	308	254	341.5
Bone	104	93	116	115	78	159	221	180	263
Bone Joint Res									
Bone Marrow Res				62	50	71.5			
Bone Marrow Transplant.	202	180	221	109	71	158	306	274	355
Bonekey Rep				77	63.5	118			
Br J Clin Pharmacol	220	203	244.5	151	97	194	372.5	320	412
Br J Clin Psychol		280			215		413	288	480
Br J Dev Psychol	328	267		740	275		495	325	670
Br J Educ Psychol							560	526	626
Br J Guid Counc							194	193	198
