Jname	Jarticles	MedianWave_rp	Q25Wave_rp	Q75Wave_rp
Biometrics	66	487	394	577
Eur. Psychiatry	66	487	342	592
Vet Surg	107	485	307	624
Zoonoses Public Health	34	484.5	442	542
Eur J Drug Metab Pharmacokinet	30	479.5	384	591
Korean J Ophthalmol	85	479	400	617
Int J Hyg Environ Health	122	478.5	423	512
Eur Ann Otorhinolaryngol Head Neck Dis	46	478	423	613
J Minim Access Surg	27	478	377.5	506.5
Med Chem	34	477	454	543
Asian Spine J	49	476	415	526
Chin J Integr Med	130	475.5	250	727
Can. J. Vet. Res.	22	475	435	505
J Indian Soc Periodontol	106	475	282	652
Afr J Psychiatry (Johannesbg)	26	473	394	640
J Orthop Traumatol	32	472	398.5	574
Biochem. Genet.	63	470	426.5	505.5
J Sci Med Sport	157	469	421	554
Rev Esp Anestesiol Reanim	97	469	351	
Dev Sci	74	468.5	344	598
J Neuropsychol	24	468.5	413.5	695
Bipolar Disord	41	468	344	556
J Emerg Med	549	468	394	566
Med Eng Phys	222	468	387	559
Bioelectromagnetics	72	467.5	374.5	542
Clin Oral Investig	257	467	416	534
Clin Exp Otorhinolaryngol	24	465.5	366.5	1133
Biomech Model Mechanobiol	93	465	410	509
J Magn Reson Imaging	438	464	408	525
J Robot Surg	5	463	15	468
Ann Vasc Surg	292	462	380	529
J Ultrasound	41	462	73	
Pediatr Neonatol	91	462	371	563
Magn Reson Med	436	461.5	409.5	509
Clin Neuroradiol	31	461	392	537
Lifetime Data Anal	51	461	363	640.5
Equine Vet. J.	91	460	405.5	563.5
J Solution Chem	12	460	90	
Lasers Med Sci	258	460	380	577
Top Cogn Sci	48	460	338.5	501
Psychooncology	260	458.5	344	558.5
J Clin Anesth	85	458	388	526
Med Mol Morphol	44	458	353	520.5
Rev Epidemiol Sante Publique	69	458	328	543
Bioelectrochemistry	42	457	340	530
Asia Pac Psychiatry	52	455.5	272.5	569
J Pediatric Infect Dis Soc	16	455	393.5	547
Vet Anaesth Analg	71	455	387	654
Hematol Oncol	23	454	397	488
Intensive Crit Care Nurs	34	453.5	372	511
Brain Dev.	148	452.5	390	505.5
Perspect Psychiatr Care	23	452	415	508.5
Eur J Orthop Surg Traumatol	207	450	332.5	503
Hum Mov Sci	98	450	346	579
Health Care Manag Sci	30	449	402	558
J Health Econ	112	449	305	583
Foot (Edinb)	12	448.5	225.5	
Actas Dermosifiliogr	129	448	308	713
Oral Dis	119	448	394.5	523.5
Rheumatol. Int.	330	448	393	531
Soc Sci Res	140	447.5	357	580
Phytother Res	210	446	401	498
J Emerg Nurs	99	445	209.5	548.5
J Trauma Stress	10	445	371	465
Clin Nutr	154	444.5	378	511
Int J Public Health	72	444.5	349.5	540
PLoS Genet.	888	444.5	130	
Cell Tissue Bank	53	444	392	499
Eat Weight Disord	60	444	253	497.5
J Pain Symptom Manage	189	443	408	496
Neurosignals	21	443	309	553
J Adv Res	87	442	413	497
Braz J Biol	35	441	413	533
Int J Nurs Stud	157	440	382	516
Ir J Med Sci	93	440	375	513
Auris Nasus Larynx	70	439	406	493
Int J Geriatr Psychiatry	145	439	403	501
Kaohsiung J. Med. Sci.	108	439	386	525.5
Curationis	5	438	373	445
Nurs Health Sci	63	438	374.5	507
Arts Health	5	437	274	571
Hernia	136	437	268.5	615.5
J Comput Neurosci	52	437	377.5	495.5
J. Comp. Pathol.	139	437	328	
Sleep Breath	116	437	387.5	462
Braz. J. Microbiol.	182	436.5	305	566
J Neuroradiol	52	435	320.5	458.5
Eval Program Plann	38	434.5	324	532
J Gene Med	14	434.5	166	
Neurourol. Urodyn.	105	434	398	501
Conserv. Biol.	120	433	359	482
Z Med Phys	19	433	355	445
Clin Anat	120	432	312.5	571.5
Drug Test Anal	119	432	229	812
Eur J Nutr	140	431.5	373	464.5
Neurochirurgie	21	430	268	504
Environ. Eng. Sci.	9	429	285	548
Int Emerg Nurs	49	429	386	503
Gastric Cancer	112	428.5	390	473
Biom J	79	428	312	532
Neural Netw	156	428	269	499
Pain Pract	77	428	355	511
Australas. J. Dermatol.	68	426.5	270	613
Enferm. Infecc. Microbiol. Clin.	109	425	287	580
Curr Alzheimer Res	67	424	320	496.5
J Behav Ther Exp Psychiatry	58	423	368	465
Pest Manag. Sci.	211	423	364.5	462
J Tehran Heart Cent	18	422	335	467
Rev Saude Publica	60	422	295.5	535
Cir Esp	125	421	287	528
Personal Ment Health	17	420	330	452
Int J Health Care Finance Econ	14	419.5	293	562
Aust J Prim Health	57	419	315	578
Nurse Educ Today	250	419	338	476
Environ Manage	211	418	348.5	526
Folia Microbiol. (Praha)	80	417	353	484
J. Physiol. Paris	34	417	295	
Psychiatry Clin. Neurosci.	75	416	339	565
Ambio	64	415.5	345	491.5
Biol Cybern	29	415	326	500
Mucosal Immunol	60	413.5	361.5	479.5
Br J Clin Psychol	41	413	288	480
Clin Exp Optom	80	413	342	480
Nurse Educ Pract	145	413	292	518
J Genet Couns	86	412.5	320	499
Brain Stimul	129	412	313	469
Man Ther	89	412	352	488
J. Vet. Pharmacol. Ther.	42	411.5	365	497
Mod Rheumatol	120	411	364	456
Oecologia	320	410.5	347	525
Iran J Med Sci	35	410	324	503
Mar. Biotechnol.	60	409	359	487.5
Am. J. Surg.	234	407.5	266	512
Biodegradation	69	407	366	430
Br J Oral Maxillofac Surg	211	407	324.5	481
J Chin Med Assoc	102	407	314	540
Indian J Pediatr	302	406	260	536
J Infect Dev Ctries	55	406	271.5	495
Saudi Pharm J	58	406	385	448
Int J Fertil Steril	52	405	343.5	466
J Subst Abuse Treat	167	405	313	489.5
Obesity (Silver Spring)	397	405	325	491
Eur. J. Hum. Genet.	174	404	378	428
Int. J. Immunogenet.	50	404	326	466
Clin. Experiment. Ophthalmol.	83	403	354	505
Environ Monit Assess	698	402.5	334	472
Int J Parasitol Drugs Drug Resist	7	401	342	427
Iran Red Crescent Med J	132	400.5	308.5	489.5
Burns	205	400	344	451
Eur. J. Protistol.	39	400	274	462.5
Int Endod J	138	400	348	460
Nutrition	232	400	304.5	
Prog. Neurobiol.	62	400	225	470
Soc Psychiatry Psychiatr Epidemiol	187	400	338.5	479
Psychiatry Res	534	399.5	340	495
J. Gastroenterol.	163	399	343	442.5
J Clin Neurosci	541	398	313	463
J Orofac Orthop	34	398	282	505
Brain Tumor Pathol	58	397	362	459
MAGMA	42	396.5	358	462
Int J Oral Maxillofac Surg	231	396	304	455
J Grad Med Educ	50	396	344	438
J Pediatr Urol	173	396	332	499
Ann. Nutr. Metab.	115	394	167.5	
BMC Med Imaging	31	394	81	
BMC Womens Health	21	393	85	
Fish Physiol. Biochem.	121	393	328	438
J Stroke Cerebrovasc Dis	347	393	273	586
J Prosthodont Res	38	392.5	255	508
Plasmonics	10	392.5	186	
Eur Arch Psychiatry Clin Neurosci	80	392	215	440
J Biomed Mater Res A	431	392	332	437
J. Nutr. Biochem.	217	392	321	495
Int. J. Cardiol.	870	391.5	285	658
Rev Mal Respir	90	391.5	287	463
Cardiovasc Intervent Radiol	161	391	341	424
Int Ophthalmol	138	391	315	500
J Surfactants Deterg	6	391	345	
Knee	121	391	327	514
J Manipulative Physiol Ther	69	390	270	1074
Rev Paul Pediatr	49	390	317	
APMIS	130	389.5	326	438
J. Cardiothorac. Vasc. Anesth.	210	389.5	350	492
Clin Respir J	52	389	343	448.5
Psychopathology	52	388.5	285.5	507.5
Cogn Neurodyn	34	388	354	421
Environ Geochem Health	79	387	290	482
J Clin Epidemiol	197	387	313	492
Hepatol. Res.	172	386	331	487
Acta Diabetol	78	385	245	622
Catheter Cardiovasc Interv	492	385	308.5	507.5
Cognition	172	385	318.5	512.5
J Nat Med	137	385	332	437
Biomed. Environ. Sci.	58	383.5	269	428
J. Obstet. Gynaecol. Res.	200	381.5	337	419.5
Cancer Microenviron	14	381	176	454
J. Fish Dis.	134	381	291	481
Homo	39	380	332	520.5
Cytotechnology	118	379.5	302	457
J Headache Pain	53	379	348	
J Shoulder Elbow Surg	287	378	294	427
J. Anim. Breed. Genet.	26	378	316	499
HPB (Oxford)	82	377.5	252	430
Eur Neuropsychopharmacol	164	377	299.5	458.5
Herz	87	377	326.5	434
Public Health	143	377	291	498
J. Physiol. Biochem.	66	376	335	440
Rev Stomatol Chir Maxillofac Chir Orale	56	376	267	466
Cell Biochem. Funct.	76	375.5	279	412.5
Clin Neurol Neurosurg	409	375	277	496
Crim Behav Ment Health	19	374	330	425
Iran J Allergy Asthma Immunol	13	374	293	430
J. Bone Miner. Metab.	126	374	300	458
Int J Obes (Lond)	180	373	327	421.5
Br J Clin Pharmacol	92	372.5	320	412
Occup Ther Int	8	372.5	335.5	469.5
Wilderness Environ Med	46	372.5	332	445
Korean J Fam Med	19	372	172.5	507.5
Med Image Anal	91	372	284.5	456
Eur J Oncol Nurs	87	370	297	434
Pharmacogn Mag	32	370	341	400
Rev. Neurol. (Paris)	97	370	166	
Immunobiology	124	369.5	283.5	441
Dysphagia	43	369	298	482
J Prosthet Dent	9	369	350	386
Transfusion	261	369	325	409
Eur Child Adolesc Psychiatry	88	368.5	282	458.5
Surg Radiol Anat	151	366	302	419.5
Indian J Gastroenterol	85	365	310	450
Indoor Air	48	365	295	423.5
Biotechnol. Adv.	107	364	339.5	
NMR Biomed	168	364	302	432
J Orthop Surg Res	21	363	279	
Eur Arch Otorhinolaryngol	454	362.5	293	426
Clin. Genet.	153	362	209	403
J Tissue Eng Regen Med	126	362	224	809
Gait Posture	296	361	300	448
Biomed Pap Med Fac Univ Palacky Olomouc Czech Repub	51	360	206	485
Indian Pediatr	71	360	303	499.5
J Crohns Colitis	133	360	289	423
Philos Ethics Humanit Med	12	359.5	69.5	
Pediatr Int	97	359	280	484
Theory Biosci.	22	359	265	500
Transfus. Apher. Sci.	94	359	280	425
Ultrasonics	190	358.5	284	444
Addiction	177	358	300	449
Anim Cogn	117	358	293	462
Compr Psychiatry	194	358	301	450
Int. J. Urol.	159	358	227	408
Behav Ther	42	357	325	434
BMC Psychiatry	197	357	78	
Neurosci Bull	77	357	145	381
S Afr J Surg	15	357	290.5	445
An Pediatr (Barc)	152	356.5	299.5	424
Cancer Treat. Rev.	94	356	299	385
Iran J Kidney Dis	60	356	287	516
Kidney Int.	177	356	305	426
Tech Coloproctol	106	356	295	430
J Trace Elem Med Biol	67	355	308	454
Metabolomics	18	354.5	212	
World J Urol	184	354.5	221.5	463
J. Steroid Biochem. Mol. Biol.	201	354	275	362
World J Orthop	39	354	178	
J Environ Radioact	211	353	287	562.5
J Gen Intern Med	185	353	312	412
Aust Dent J	29	352	317	379
Clin Orthop Surg	52	352	252.5	456
Scientometrics	8	351.5	111	360
Alcohol. Clin. Exp. Res.	281	351	318	410
Comput. Biol. Med.	257	351	249	525
FEMS Microbiol. Rev.	35	351	284	425
Int J Numer Method Biomed Eng	91	351	299	410
J Arthroplasty	386	351	297	405
J Int AIDS Soc	52	350.5	86.5	
J Gynecol Obstet Biol Reprod (Paris)	74	350	241	495
J. Biomed. Mater. Res. Part B Appl. Biomater.	234	350	302	415
Ophthalmologica	98	350	113	
Transbound Emerg Dis	89	350	335	794
Blood Transfus	122	349.5	298	417
BMC Med Educ	112	349.5	67.5	
J Diabetes	37	349	284	427
Acta Neurol Belg	34	348	308	431
Anim. Sci. J.	97	348	277	402
Craniomaxillofac Trauma Reconstr	63	348	286.5	389.5
Infant Behav Dev	53	348	275	387
J Biophotonics	80	348	202	504
Cont Lens Anterior Eye	52	347	310	418.5
Curr Cardiol Rev	10	347	314	367
Food Chem	1297	347	297	432
Int J Med Inform	127	347	268.5	456
Neurophysiol Clin	28	347	315	418
Autism Res	48	346.5	287	428.5
Child Abuse Negl	158	346.5	261	447
Ann Rehabil Med	29	346	255	436
Asian J Surg	44	346	291	454.5
J Exp Child Psychol	148	346	282	425.5
J. Comp. Neurol.	95	346	274	426.5
Korean J. Intern. Med.	77	346	154	527
Rep Pract Oncol Radiother	63	346	105.5	769
Codas	91	345	203	
Gut Liver	113	344	287	386
Contemp Oncol (Pozn)	161	343	163	
J. Sci. Food Agric.	553	343	286	404
Joint Bone Spine	79	343	291	396
Photodiagnosis Photodyn Ther	75	343	285	375.5
Clin. Exp. Nephrol.	104	342	228.5	405.5
Cogn Psychol	17	342	304	456
Indian J Clin Biochem	96	342	280	405
J Anim Ecol	163	341	266	400.5
J. Invest. Dermatol.	147	341	303.5	389.5
Chin J Nat Med	58	340.5	215	384
Plant Biol (Stuttg)	118	340.5	230	390
Disabil Health J	77	340	292	382
J Clin Exp Hepatol	10	340	340	533
ISA Trans	128	339.5	263	474.5
Biol. Psychiatry	288	339	270.5	408
Int J Eat Disord	15	339	274	405.5
Med Chem Res	11	339	304	468.5
Scand J Psychol	49	339	261	397
J Med Imaging Radiat Oncol	76	338.5	285.5	392
Heredity (Edinb)	72	338	289.5	401
Iran J Reprod Med	73	338	268	445
Curr Aging Sci	10	337.5	264	447
J. Formos. Med. Assoc.	135	337	199.5	639
Curr Health Sci J	9	336	332	
J Hum Hypertens	73	336	308	383
Sci. Justice	67	336	256	423
Arthritis Care Res (Hoboken)	122	335	280	380
Prostaglandins Other Lipid Mediat.	65	335	245	
Rev Port Cardiol	121	335	252	424
Allergy Asthma Immunol Res	98	334	277	366
Int. J. Drug Policy	149	334	260	374
Neurol. Sci.	247	334	283	420
Transpl Infect Dis	94	333.5	266	405
Am J Infect Control	284	333	289	393
Arch. Immunol. Ther. Exp. (Warsz.)	33	333	303	367
Aust Crit Care	24	333	289	465.5
Int J Comput Assist Radiol Surg	139	333	294	397.5
Int. J. Cancer	651	333	291	384.5
Iran J Cancer Prev	31	333	175	
Pediatr. Res.	129	333	298	367
Laryngoscope	440	332	283	401
Nanomedicine	163	332	272	390
Women Birth	33	332	233	427
Respiration	150	331.5	175	
Brain Lang	127	331	258	511.5
Actas Urol Esp	99	330	247.5	
Aten Primaria	55	330	243	433.5
Indian J Otolaryngol Head Neck Surg	133	330	200	549
J Hand Microsurg	16	330	218.5	464
J. Inherit. Metab. Dis.	99	330	215	393
Accid Anal Prev	484	329	253	419
J Adolesc	102	329	265	441
Clin Neurophysiol	294	328.5	278	413
Comput Methods Programs Biomed	250	328	262	476
J Bioeth Inq	47	328	145.5	385
J. Environ. Manage.	632	327.5	254	413.5
Cien Saude Colet	164	327	161	503
Hemodial Int	15	327	292.5	357.5
J Clin Monit Comput	81	327	285	372
Orthop Traumatol Surg Res	147	327	261	431
Osteoporos Int	304	327	269	392.5
Strategies Trauma Limb Reconstr	39	327	255.5	402.5
J Adolesc Health	236	326.5	276	385
Food Microbiol.	133	326	291	408
J Sleep Res	60	326	300	380.5
Pediatr Diabetes	81	326	271	372
Artif Intell Med	63	325	323	441
Crit. Rev. Oncol. Hematol.	130	325	293	361
Neurobiol. Aging	346	325	243	385
Pathol. Biol.	30	325	49	517
Transgenic Res.	71	325	273	391
Bioprocess Biosyst Eng	223	324	270	364.5
J Appl Behav Anal	69	324	285	383
Mol. Vis.	355	324	85	
Soc Sci Med	488	324	270	436
Patient Educ Couns	248	323	260	394
J. Thorac. Cardiovasc. Surg.	530	322.5	213	458
Endocrinol Nutr	75	322	281	404
Int Urogynecol J	249	322	275	373
Suicide Life Threat Behav	65	322	246	427
Vet Res Forum	45	322	167	591
Clin Res Hepatol Gastroenterol	102	321.5	187	388
J Fr Ophtalmol	160	321.5	234	410
Am. J. Kidney Dis.	218	321	272	369
Clin Physiol Funct Imaging	91	321	273.5	384
Math Biosci	127	321	256	445
Ophthalmology	293	321	283	367
Clin Psychol Rev	72	320.5	271	428.5
Eur Spine J	420	320.5	228	433
J. Plant Res.	76	320.5	278.5	391.5
Curr Cancer Drug Targets	55	320	250	408
Meat Sci.	362	320	263	389
Aust Health Rev	56	319	218	422
J Arthropod Borne Dis	35	319	221	580.5
J Inj Violence Res	33	319	233	553
Physiol Plant	108	319	282.5	353
Protoplasma	92	319	284	382
Rev Clin Esp (Barc)	55	319	259	
Arch. Oral Biol.	176	318	264	356.5
Brain Topogr	81	318	290	398
Res. Vet. Sci.	220	318	279	399
Clin Transl Oncol	162	317	280	378
Int J Parasitol Parasites Wildl	23	317	244.5	344
J Gerontol Nurs	58	317	150	383
J Safety Res	58	317	270	388
Microb. Pathog.	77	317	176	
Appl Nurs Res	54	316.5	280	385
J Cardiothorac Surg	136	316.5	46	
Clin. Endocrinol. (Oxf)	249	316	278	400
Gene Ther.	66	316	280	354
J Clin Neurol	30	316	221	411
Prev. Vet. Med.	195	316	249	395
Ultrason Sonochem	220	316	267.5	392
Zoology (Jena)	27	316	287	409
Tissue Cell	46	315	261	389
Cell J	50	314.5	276	345
Asian J Psychiatr	83	314	259	383
Ecohealth	36	314	176.5	448.5
J Anesth	123	314	264.5	406
J Dermatol Case Rep	40	314	151	
Eur Arch Paediatr Dent	55	313	289	344
Gen Thorac Cardiovasc Surg	145	313	207	415
Reprod. Domest. Anim.	94	313	282	369
J. Cyst. Fibros.	108	312.5	275	367
Endocrine	174	312	263	367
Longev Healthspan	7	312	144	
Injury	292	311.5	252	418
Presse Med	200	311.5	120	413
Brain Cogn	111	311	227	405
Cell. Mol. Life Sci.	291	311	254	359
Extrem Physiol Med	15	311	91.5	
Gynecol. Obstet. Invest.	117	311	150	
Pathol. Oncol. Res.	151	311	258.5	389
Plant Cell Environ.	154	311	263	373
Protein Pept. Lett.	67	311	271	415
Rev. Panam. Salud Publica	47	311	272.5	352.5
Spat Spatiotemporal Epidemiol	19	311	263.5	559.5
Ultrasound Med Biol	219	311	262	371
Cancer Cell	62	310.5	235	486
Drug Alcohol Rev	68	310.5	255	382.5
J Acad Nutr Diet	162	310.5	175	422
J Crit Care	180	310	266	364
J Forensic Leg Med	213	310	252	387
J Oral Maxillofac Res	19	310	166.5	
Neuropathology	49	310	227	355
Iran J Pediatr	52	309.5	256.5	473.5
J Emerg Trauma Shock	34	309.5	244	421
Health Policy	194	309	260	403
Hypertens. Res.	109	309	263	344
Psychogeriatrics	15	309	229.5	452
Support Care Cancer	374	309	260	358
Ann Emerg Med	152	308	258.5	390.5
Arch Womens Ment Health	57	308	238	378
Body Image	95	308	254	341.5
Breast	178	308	244	366
Dig Endosc	135	308	153	389
Microbiol. Res.	111	308	246	347.5
Vet. J.	347	308	261	396
Recent Pat Drug Deliv Formul	7	307	284.5	310
Asian J Sports Med	38	306.5	266	358
Adv Life Course Res	22	306	262	351
Bone Marrow Transplant.	157	306	274	355
Int J Prev Med	170	306	119	454
J Ren Nutr	77	306	104	439
J Spec Pediatr Nurs	31	306	275	380
Pediatr. Nephrol.	236	306	235	404.5
Exp. Appl. Acarol.	86	305.5	270	370
J Cachexia Sarcopenia Muscle	20	305.5	251	433
Med Oral Patol Oral Cir Bucal	100	305.5	262.5	406.5
Anticancer Agents Med Chem	65	305	273	360
J Diabetes Investig	141	305	223	373
PM R	115	305	237	367
Recent Pat Nanotechnol	7	305	237.5	320
Biol Psychol	122	304	241	387
Curr. Drug Metab.	51	304	234.5	435
Int. J. Legal Med.	164	304	236.5	397.5
Rev Pneumol Clin	65	304	191	327
Semin. Arthritis Rheum.	88	304	271	341.5
Urol J	23	304	157.5	435
Waste Manag	283	304	245	373.5
Arch. Gynecol. Obstet.	372	303.5	253	395
J. Viral Hepat.	116	302.5	276	362
Gen. Physiol. Biophys.	53	302	270	345
Neurodegener Dis	76	302	198	374
Pathobiology	33	302	179	373
Arch Psychiatr Nurs	32	301	234	331.5
Biointerphases	14	301	109	353
Eur. J. Paediatr. Neurol.	120	301	238	366
Evolution	279	301	240	365
J Vasc Nurs	7	301	294	348
Sex Reprod Healthc	15	301	226.5	454
Pulm Pharmacol Ther	78	300.5	260	399
Arthroscopy	238	300	241	380
J. Infect. Chemother.	127	300	263.5	358.5
J. Orthop. Res.	235	300	261	360
Mini Rev Med Chem	88	300	184	452.5
Psychoneuroendocrinology	292	300	254	357.5
Environ Health Prev Med	59	299	246	387
Foot Ankle Surg	37	299	248	386
J Acupunct Meridian Stud	34	298.5	187	446
Audiol. Neurootol.	63	298	152	
Clin. Exp. Metastasis	81	298	256	349
J Electromyogr Kinesiol	140	298	231	329
J Trauma Manag Outcomes	5	298	254	393
Mod. Pathol.	157	298	277	337
Mol. Breed.	21	298	191	
Respir Investig	55	298	254.5	345.5
Environ. Health Perspect.	212	297.5	225	392
Crit Public Health	5	297	297	562
Depress Anxiety	146	297	225	348
J. Morphol.	103	297	245	345.5
Org Med Chem Lett	5	297	17	
Primates	59	297	231	381.5
Res Gerontol Nurs	41	297	184	482
Vox Sang.	86	297	264	354
Atten Defic Hyperact Disord	14	296.5	212	359
Homeopathy	18	296.5	227	466
Salud Publica Mex	64	296.5	10	
Clin Lung Cancer	117	296	268	328
J. Vet. Sci.	111	296	134.5	452
Pediatr Radiol	197	296	256	339
Prog Orthod	10	296	178	
Stud Hist Philos Biol Biomed Sci	19	296	206.5	339.5
Clin Colorectal Cancer	26	295.5	258	311
J Bodyw Mov Ther	106	295.5	239	382
Jpn. J. Ophthalmol.	88	295.5	250	349
Nephrol. Ther.	38	295.5	231	384
Appl Radiat Isot	267	295	214	378
Pacing Clin Electrophysiol	260	295	227	367
Arab J Gastroenterol	51	294	240	437
Cardiovasc Hematol Agents Med Chem	14	294	108	871
CNS Neurol Disord Drug Targets	58	294	190	360
Int J Lab Hematol	77	294	150	377
Psychophysiology	129	294	235	381
Surg Endosc	573	294	261	338
Theor Popul Biol	44	294	235	423.5
Parasitol. Int.	98	293.5	216	387
ISME J	128	293	264	323
J Exp Anal Behav	66	293	234	367
Magn Reson Imaging	215	293	261	374.5
Transplant. Proc.	384	293	168	
Rev Med Interne	178	292.5	142	465
West J Emerg Med	84	292.5	230	447.5
Ann. Surg. Oncol.	488	292	246	362.5
Hepatology	415	292	246	344
Int J Occup Med Environ Health	53	292	257	392
J Anxiety Disord	83	292	216.5	399.5
J Chiropr Med	16	292	144	530
Med Biol Eng Comput	119	292	239.5	371.5
BMC Health Serv Res	293	291	74	
Clin Genitourin Cancer	67	291	257	324.5
J. Pediatr.	535	291	233	330
Microsurgery	133	291	235	367
Mutat. Res.	246	291	200	
Diabetes Metab. Res. Rev.	58	290.5	230	381
Ann Phys Rehabil Med	69	290	214	359
Cad Saude Publica	106	290	253	358
Clin. Breast Cancer	62	290	259	325
Indian J. Microbiol.	98	290	194	374
J Vet Cardiol	30	289.5	171	365
Med Educ	44	289.5	256	324
Ment Illn	10	289.5	135	500
Nurs Crit Care	28	289.5	247	326
Thorac Cardiovasc Surg Rep	8	289.5	243	322
